EventID,ISIN,EventDate,Group,BlockSize,CAR_[-10;+10],CAR_[-5;+5],CAR_[-2;+5],CAR_[-2;+2],CAR_[-1;+1],CAR_[-1;+0],Block_3,Block_5,Block_10,Block_20,Block_30,GROUP_A,GROUP_F,GROUP_S,Leverage_T-1,MarketCap_T-1,NetSales_T-1,SalesGrowth,MarketToBookValue_T-1,ReturnOnAssets_T-1,TurnoverByVolume,BHAR,HasNAN
15,DE000A0JL461,2011-04-04,FinancialBlock,THREE,0.2114,0.0765,0.0964,0.1037,0.1221,0.1533,1,0,0,0,0,0,1,0,-1.29,33476,2654,-0.42,-48.28,-110.43,47.00,0.2140,FALSE
16,DE0007235301,2013-08-10,FinancialBlock,FIVE,0.1002,0.0396,0.0601,0.0703,0.0610,0.0658,0,1,0,0,0,0,1,0,74.75,2121733,1709100,0.11,2.07,1.51,66.40,0.2478,FALSE
17,DE0008041005,2010-03-01,FinancialBlock,THREE,0.2534,0.0613,0.0242,0.0203,0.0761,0.0298,1,0,0,0,0,0,1,0,82.88,19799,977,-0.06,0.99,-14.68,5.00,0.0330,FALSE
18,DE000SYM9999,2014-04-08,FinancialBlock,THREE,-0.0303,-0.0280,-0.0197,0.0334,0.0191,0.0244,1,0,0,0,0,0,1,0,57.19,3958806,nan,nan,3.83,8.89,316.90,0.1121,TRUE
19,DE000A1E8H38,2014-06-11,FinancialBlock,THREE,0.3228,-0.0324,-0.0701,-0.0350,-0.0043,-0.0184,1,0,0,0,0,0,1,0,549.46,60216,37706,-0.56,4.63,6.35,1.40,0.1000,FALSE
20,DE000A1KREX3,2013-12-02,FinancialBlock,TEN,0.0060,-0.0172,-0.0238,-0.0190,-0.0091,0.0018,0,0,1,0,0,0,1,0,4.42,121340,149011,0.25,0.75,23.22,0.90,-0.0099,FALSE
21,DE0006605009,2011-08-11,FinancialBlock,THREE,0.1942,0.1226,0.0327,-0.0283,-0.0076,0.0147,1,0,0,0,0,0,1,0,0.65,602268,1638737,0.16,1.20,2.81,24.00,0.1416,FALSE
22,DE0006636681,2018-03-29,FinancialBlock,THREE,0.0933,-0.0172,0.0072,0.0027,0.0266,0.0569,1,0,0,0,0,0,1,0,40.04,239747,46926,0.32,3.43,0.05,14.70,-0.3068,FALSE
23,DE0005130108,2015-11-26,FinancialBlock,THREE,0.0453,0.0919,0.0282,0.0422,0.0607,0.0204,1,0,0,0,0,0,1,0,0.07,53369,104339,-0.21,1.17,-0.35,nan,0.0699,TRUE
24,DE000A0Z23G6,2013-02-28,FinancialBlock,TWENTY,0.0563,0.0205,-0.0014,-0.0323,-0.0166,0.0018,0,0,0,1,0,0,1,0,33.54,37786,155725,0.21,1.01,3.14,7.20,-0.2162,FALSE
25,DE000A0DPRE6,2017-10-01,FinancialBlock,FIVE,0.0244,0.0238,-0.0138,-0.0196,-0.0185,0.0014,0,1,0,0,0,0,1,0,181.71,368948,713881,0.07,2.15,3.55,16.60,-0.2054,FALSE
26,DE0005408884,2013-04-29,FinancialBlock,THREE,0.1254,0.0773,0.0625,-0.0003,0.0174,0.0041,1,0,0,0,0,0,1,0,64.91,932700,3809007,0.03,1.56,8.06,227.20,0.2207,FALSE
27,DE000A0N4N52,2019-05-21,FinancialBlock,FIVE,0.0055,0.0045,0.0942,0.0614,0.0497,0.0334,0,1,0,0,0,0,1,0,0.29,123847,43028,0.21,nan,-26.33,0.70,0.2183,TRUE
28,DE0006910904,2008-11-06,FinancialBlock,TWENTY,0.0027,-0.0212,0.0169,-0.0017,0.0080,0.0221,0,0,0,1,0,0,1,0,18.04,80319,692148,0.17,1.26,2.83,10.30,-0.0169,FALSE
29,DE0007667107,2013-06-03,FinancialBlock,THIRTY,-0.0720,0.0042,0.0048,-0.0230,-0.0205,-0.0184,0,0,0,0,1,0,1,0,55.31,893533,1243000,0.04,2.01,5.37,24.50,-0.2036,FALSE
30,DE0005874846,2014-07-09,FinancialBlock,THREE,0.0225,0.0141,0.0075,0.0468,0.0191,0.0033,1,0,0,0,0,0,1,0,52.94,18368,37838,0.04,0.75,2.80,0.10,0.0296,FALSE
